Nuclear_mRNA,Cytoplasmic_mRNA,Cell_volume
1,24,0.886271669
0,2,0.919942709
0,2,0.703138087
0,3,1.083417566
0,13,0.832991501
1,4,1.106000925
1,1,0.794966078
0,1,0.986520047
2,25,1.231760127
0,2,0.851356052
0,1,0.765503671
1,0,1.269954166
4,7,1.226066516
0,2,0.74930511
1,0,0.791611071
0,11,0.980726004
2,1,0.685530595
0,3,0.698243869
2,9,1.02764109
0,1,0.63968825
1,1,0.937697378
1,3,0.812963083
2,3,1.327654422
2,6,0.907228021
0,10,1.053603935
0,0,1.186388297
0,0,0.676996857
0,0,0.970307024
0,1,0.65051012
2,0,0.608057378
0,4,1.035895643
1,1,0.832610846
0,2,1.037121567
1,7,0.972517514
0,1,0.685714323
0,6,0.847052418
1,3,0.900122819
0,6,1.044490989
0,2,0.769575456
0,8,0.98243664
1,2,0.747325244
1,9,1.086338038
0,2,0.864426605
0,4,0.754425678
0,0,0.896589558
0,0,0.772027729
0,2,0.963721569
0,2,0.951651059
0,0,0.899867805
0,1,0.78781351
2,11,0.872444452
0,4,0.737665873
1,2,0.73172251
0,0,0.784155683
1,3,1.007258481
0,2,0.688462038
0,0,0.956723778
0,1,0.7718811
1,11,0.764810237
0,0,1.028106865
0,1,0.945406433
0,5,0.967276029
1,4,0.600577163
0,2,1.110139551
3,7,0.855727625
1,2,1.390199272
1,14,0.83822463
0,3,1.262823179
1,4,1.158227869
0,0,0.607368671
1,0,0.987837634
0,1,1.344509698
2,7,1.30984693
0,2,1.120726386
0,1,1.004759658
0,0,0.981282131
2,9,0.992641114
1,0,0.903480544
0,3,0.970654942
2,4,1.274517189
0,1,0.744781145
0,0,0.805355648
0,2,0.837210439
1,1,0.836373738
1,0,0.859407104
0,0,1.020575439
0,3,1.039841327
0,0,0.803087402
0,3,1.374371498
0,0,0.873609592
0,2,1.214436407
0,2,0.799140534
1,0,0.713446551
0,1,0.80227708
1,4,1.298638174
0,0,0.799006526
3,1,0.97595185
0,1,0.917033113
2,0,0.769178681
2,5,1.270921188
0,1,0.580123944
1,3,1.327502089
0,0,0.899056589
0,4,0.858179434
0,1,0.947801072
0,1,1.110692925
0,2,1.441286222
0,9,0.859988788
1,4,0.852108878
0,1,0.724873363
1,0,0.859991884
0,0,0.675482636
1,3,1.293704622
0,3,0.749758694
1,4,0.990818699
1,3,0.873612139
3,9,0.970447077
2,3,0.917826559
1,3,0.969432043
1,4,1.119240207
1,1,0.958969648
0,6,0.928755083
2,0,0.782466145
1,5,0.702172576
0,0,0.886465797
1,1,1.200937857
2,6,1.00587936
3,19,1.346851885
0,1,0.709660271
0,1,0.787253585
1,5,0.919790553
0,1,1.404531524
1,4,1.517840478
0,1,0.664691153
2,1,0.818707322
0,3,0.673100664
0,1,0.842829565
0,1,0.740111992
0,1,1.254700583
2,4,0.912309001
2,4,0.868567989
1,1,0.785561838
1,0,0.965396947
0,4,1.056174493
2,0,1.006364204
0,2,0.808601264
0,3,0.704232525
1,1,0.761827412
1,0,0.737051275
2,7,0.976590965
3,6,0.804364542
1,2,1.516345223
0,8,0.979299693
0,0,0.614919318
1,9,0.968129207
1,2,0.817757704
1,4,1.404293072
1,1,0.763220566
2,3,1.58523642
0,0,1.2834525
0,0,0.852932069
2,6,0.98148987
0,2,1.588909655
0,0,0.767757767
0,0,1.475451725
0,1,0.97785737
0,11,1.350588212
1,5,0.936824714
3,2,1.159050599
0,8,1.759940687
0,3,1.289233033
0,2,0.623676443
0,3,0.763232744
0,2,1.136754118
1,1,1.053324408
0,3,0.785445699
0,10,0.754127063
0,6,0.646511144
2,1,1.549000584
0,1,0.724042728
1,0,1.024445709
1,8,1.06948488
2,7,1.234660602
1,1,1.072621155
0,0,0.828581473
1,12,1.125369037
1,5,0.967411652
2,2,0.772291169
0,3,1.429626843
1,0,1.263584187
0,1,0.752615116
1,3,0.979312918
0,4,0.67810534
0,2,0.714482344
0,2,1.902864241
0,0,0.81167424
0,3,0.906994768
0,5,0.802231519
0,6,1.20714235
0,2,0.677237616
1,2,0.843343142
0,0,0.76002966
0,3,1.116851893
2,5,1.009554769
1,2,1.596165559
1,13,1.437623485
1,1,0.882942866
0,0,1.381038659
0,5,1.532668005
0,0,0.794370265
0,0,0.931500084
0,9,0.918232864
1,0,0.876671174
0,0,0.765287488
1,4,0.933744082
2,5,1.045437704
0,2,1.183063226
1,1,0.907199803
2,3,1.121852793
1,6,0.782520752
0,2,0.809752023
0,2,1.037811178
0,5,0.924899575
1,0,0.678021338
0,0,0.730764774
0,1,1.102574903
0,5,0.789698057
0,2,0.781507345
1,1,0.655216547
0,1,0.930602625
2,5,0.749254434
2,8,0.982152857
1,3,0.758282384
1,1,0.699093064
0,5,0.797963891
1,5,1.109848985
2,0,0.979677373
1,2,1.492492278
1,0,1.161709681
0,4,0.870649076
0,3,0.797161542
0,1,1.101512809
0,3,1.549359568
1,5,1.084028008
1,4,0.968968174
1,6,0.980071226
0,1,0.922406829
0,1,0.789432486
0,0,0.91018374
0,1,1.222779087
0,3,1.14781481
1,0,0.697524128
0,1,0.53172412
0,2,0.62916682
0,2,0.726972778
0,2,0.825013773
0,2,0.713291547
0,1,0.909075407
0,2,1.39785744
0,5,1.028575209
0,6,1.540603168
2,18,0.718394349
1,7,0.698682429
0,0,0.824630256
0,0,0.786915392
0,1,1.285175307
1,3,1.177959891
0,0,0.803712468
0,2,1.6307513
3,2,1.328681433
0,1,1.056441947
0,0,0.860370273
0,2,1.006869899
1,6,1.894766
1,2,1.353758999
0,3,0.978313361
0,2,1.582729814
