Nuclear_mRNA,Cytoplasmic_mRNA,Cell_volume
0,0,1.754717381
0,0,1.069368156
0,0,0.687343127
0,0,0.333981142
0,7,0.824977413
0,3,0.744811465
2,0,0.407074344
3,4,0.813613671
0,0,0.783925281
0,0,0.628384106
2,2,0.805997896
0,0,1.075707974
0,1,0.84538538
0,1,0.624960069
0,1,0.655710894
0,2,1.018800714
0,0,0.655670234
0,1,0.705125493
0,0,0.551269103
0,4,0.829712302
0,0,0.841798504
0,4,0.961896243
0,0,0.53981725
0,0,0.757313493
2,1,1.179712264
0,4,0.65418445
0,0,0.877970935
1,0,0.826297679
0,3,0.689359344
0,0,1.428906928
0,1,0.736168574
1,0,0.484997109
0,0,1.052257773
0,1,0.370650277
0,0,0.759400267
0,1,1.151423245
0,1,0.775833331
0,5,0.8043958
1,1,0.637791071
0,1,0.613587571
0,1,1.121273488
0,2,0.468369848
2,0,0.618894076
0,5,0.836828957
0,0,0.863871763
0,0,0.56969452
0,3,1.001607555
7,0,1.097767885
4,1,0.592520152
0,1,1.272188332
1,0,0.538889361
0,3,1.357945521
0,0,0.389863697
0,4,1.019027463
0,0,0.386684797
0,0,0.700860102
0,2,1.020001653
0,1,0.413441743
0,0,0.51094812
0,0,0.784893033
0,1,1.220295211
0,2,1.114827566
0,0,1.045637048
0,0,1.384387864
0,3,0.788499744
8,1,0.630621715
0,0,1.314535767
0,1,0.946613991
8,0,1.843821278
0,0,0.467458917
1,0,0.721974961
0,0,1.023328437
0,0,0.81952835
0,0,0.715144141
0,0,1.181941488
2,4,0.968843444
0,2,0.313360762
0,0,0.415749795
0,0,0.709423587
0,1,0.723986289
0,0,0.964720722
0,1,0.676208336
0,0,0.874759294
1,1,0.829374303
0,2,0.346629017
2,3,1.661731904
0,1,0.809760905
1,0,1.128260278
0,1,0.467100316
0,0,0.641219171
2,4,1.185001817
0,0,1.049861467
1,0,0.731708697
1,0,0.778085295
0,0,0.666365829
0,1,0.681857919
3,0,0.910537364
2,2,1.133354974
0,0,0.493713122
0,1,0.498954735
0,0,0.654437944
1,1,0.663482165
0,0,0.924375527
8,1,0.520304565
0,1,0.726726258
0,2,0.477969502
3,3,1.345520559
0,1,1.140441692
0,1,0.490490933
0,0,0.661311464
0,0,0.651760265
